freelancer_id,hourly_rate,experience_years,rating,completed_projects,on_time_delivery_rate,response_time_hours,profile_views,repeat_client_rate,skill_category,country,english_level,availability,platform_badge
1,20.63,4.1,4.33,119,83.4,12.6,1149,36.8,mobile_development,Argentina,intermediate,part_time,none
2,72.25,8.8,4.84,83,97.6,2.1,1927,61.1,copywriting,Mexico,basic,part_time,rising_talent
3,40.18,5.9,4.52,73,83.1,6.8,1492,40.1,data_analysis,Guatemala,advanced,weekends,expert_vetted
4,88.32,10.0,4.78,266,91.6,3.5,7110,73.5,graphic_design,Argentina,intermediate,full_time,expert_vetted
5,33.92,5.7,4.71,32,85.2,3.4,1018,27.6,copywriting,Argentina,advanced,full_time,verified
6,26.62,4.0,4.54,58,92.5,8.6,2166,38.3,customer_support,Mexico,advanced,weekends,none
7,157.66,1.8,2.64,30,77.2,104.72,1112,21.8,copywriting,Mexico,intermediate,part_time,none
8,80.98,14.8,4.9,339,99.1,7.1,8441,54.9,copywriting,Colombia,advanced,weekends,top_rated
9,12.54,0.1,4.34,20,70.5,19.2,1390,15.0,data_analysis,Colombia,basic,full_time,top_rated
10,20.21,1.3,3.69,35,82.4,36.2,1296,18.4,customer_support,El Salvador,basic,part_time,none
11,25.75,3.9,4.24,105,82.8,3.9,2582,16.3,customer_support,Argentina,advanced,full_time,verified
12,26.07,4.9,4.44,37,83.4,8.6,1713,31.9,data_analysis,Guatemala,intermediate,full_time,verified
13,10.66,1.3,3.88,18,75.6,43.2,659,3.7,web_development,Guatemala,native,limited,rising_talent
14,14.8,0.6,3.86,4,68.8,10.1,408,11.0,machine_learning,El Salvador,intermediate,part_time,expert_vetted
15,33.55,6.0,4.23,99,88.7,15.0,3020,36.2,graphic_design,Mexico,advanced,full_time,none
16,20.46,0.7,4.04,6,74.6,32.2,814,14.0,copywriting,Argentina,intermediate,part_time,top_rated
17,43.23,6.7,4.21,104,96.0,15.9,1933,17.9,data_analysis,Argentina,intermediate,part_time,rising_talent
18,75.58,14.9,4.86,84,96.7,4.9,2933,86.6,data_analysis,Mexico,advanced,part_time,none
19,12.8,2.1,4.27,33,76.2,44.4,924,21.5,web_development,Guatemala,intermediate,part_time,expert_vetted
20,14.19,2.1,4.0,8,66.7,43.6,840,22.8,graphic_design,Costa Rica,basic,part_time,verified
21,88.04,14.2,4.68,207,96.7,3.5,7865,68.0,graphic_design,Argentina,advanced,limited,rising_talent
22,13.07,7.6,3.2,57,71.5,64.7,1777,16.2,machine_learning,Guatemala,advanced,part_time,rising_talent
23,27.63,6.2,4.34,28,91.2,8.2,1167,26.1,machine_learning,Peru,native,part_time,expert_vetted
24,21.48,0.8,3.6,28,73.0,39.9,901,12.0,mobile_development,Chile,basic,full_time,top_rated
25,79.34,14.5,4.89,180,93.6,1.5,3833,73.2,data_analysis,Chile,intermediate,full_time,none
26,72.72,8.5,4.87,274,96.8,7.3,6245,70.8,digital_marketing,Chile,intermediate,weekends,top_rated
27,31.04,5.7,4.51,119,84.4,4.1,2866,35.6,mobile_development,Chile,intermediate,part_time,none
28,14.65,2.5,3.57,27,85.4,31.9,658,18.5,web_development,Mexico,advanced,part_time,rising_talent
29,68.23,11.5,4.97,142,94.6,6.6,4191,73.4,customer_support,Costa Rica,advanced,full_time,verified
30,68.73,9.1,4.7,221,97.7,4.6,2522,71.3,mobile_development,Chile,intermediate,limited,none
31,13.36,0.5,3.69,27,74.4,30.6,1310,11.6,web_development,Costa Rica,intermediate,limited,none
32,42.29,6.3,4.52,119,89.6,10.8,2381,23.8,machine_learning,Peru,advanced,weekends,rising_talent
33,90.98,14.8,4.81,281,95.9,5.6,9010,44.2,web_development,Chile,intermediate,part_time,none
34,63.96,13.0,4.93,209,98.3,4.3,7272,77.5,data_analysis,Guatemala,advanced,limited,none
35,10.13,0.4,4.1,14,75.7,19.7,1211,10.5,data_analysis,Colombia,native,part_time,none
36,36.93,6.8,4.44,116,84.8,10.7,3419,48.2,data_analysis,Guatemala,intermediate,full_time,none
37,28.53,6.4,4.69,38,88.1,7.7,640,50.7,digital_marketing,El Salvador,intermediate,weekends,top_rated
38,26.14,6.7,4.37,82,85.4,9.0,1590,39.4,copywriting,Colombia,intermediate,full_time,none
39,16.35,2.6,4.0,34,86.8,13.3,1674,18.6,customer_support,El Salvador,intermediate,part_time,none
40,26.08,5.7,4.42,95,89.4,8.5,2839,44.8,digital_marketing,Chile,intermediate,full_time,none
41,92.54,12.5,4.68,327,92.8,5.1,12124,78.0,mobile_development,Chile,intermediate,part_time,none
