freelancer_id,proyectos_completados,ingresos_totales,tarifa_hora_promedio,anios_experiencia,tiempo_respuesta_horas,tasa_finalizacion,calificacion_promedio,categoria_principal,clientes_recurrentes,horas_trabajadas_mes,cluster,cluster_name,pc1,pc2
FL0001,42,73500.53,107.08,14.5,4.9,90.1,4.26,Desarrollo de Software,8,69.3,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-1.4280697618805442,2.6298866083896457
FL0002,37,4601.49,20.75,3.4,7.3,68.1,4.57,Diseño Gráfico,10,85.5,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.7809874543233504,-0.5045052865769817
FL0003,9,2441.74,16.61,1.8,43.2,54.9,3.0,Diseño Gráfico,2,27.9,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,3.646440141658985,0.2963269274646258
FL0004,47,9472.69,22.31,2.6,7.1,79.9,4.53,Diseño Gráfico,11,73.0,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.5041972119228596,-0.2959883507877148
FL0005,19,30214.17,61.33,5.0,6.8,87.1,4.75,Marketing Digital,13,56.6,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.0922180376970411,0.6980941809115182
FL0006,61,7057.3,16.28,4.5,8.9,81.3,3.94,Redacción y Traducción,7,105.9,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.3943136775643977,-0.4508185673301698
FL0007,59,11443.02,28.79,2.6,7.4,78.6,4.3,Soporte Administrativo Virtual,12,135.4,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.0771729124215609,-1.0490987223300394
FL0008,4,11774.12,30.81,3.0,8.9,82.9,3.94,Desarrollo de Software,8,78.6,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.4602944716110241,-0.1192526292222284
FL0009,36,39134.4,134.45,8.9,2.6,91.7,4.66,Desarrollo de Software,7,62.2,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.609440740667916,1.358732058538098
FL0010,30,36477.34,163.64,10.7,7.6,98.1,4.71,Marketing Digital,22,43.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.8548644671082254,1.4000757198030518
FL0011,149,32755.06,50.07,8.7,2.8,98.6,4.73,Soporte Administrativo Virtual,20,177.7,0,Alto clientes recurrentes / Alto horas trabajadas mes,-2.1027546531612558,-0.5745065419571106
FL0012,28,12344.64,25.15,3.4,6.7,83.6,4.1,Marketing Digital,14,88.8,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.0517378475891243,-0.3223815109712264
FL0013,18,11676.58,19.54,1.3,11.5,78.5,4.58,Redacción y Traducción,8,90.1,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.7308773257996873,-0.4699675016659826
FL0014,10,2081.96,11.15,3.1,40.9,65.9,3.34,Marketing Digital,0,66.7,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.919187241328962,0.0902091967841418
FL0015,7,1577.16,14.32,1.4,18.5,70.8,2.87,Diseño Gráfico,0,53.4,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.011814320639005,-0.0862646377506942
FL0016,45,11946.95,28.31,3.5,4.2,69.7,4.23,Soporte Administrativo Virtual,10,98.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.3766223021982609,-0.5087811186121032
FL0017,57,7023.28,25.33,3.5,6.2,83.3,4.57,Diseño Gráfico,13,106.8,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.0005619718239247,-0.7130943707681063
FL0018,38,4470.07,20.77,1.5,2.9,71.4,4.48,Soporte Administrativo Virtual,12,80.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.5968998021355151,-0.7071685457624369
FL0019,79,32434.21,57.64,9.0,3.2,95.1,4.92,Diseño Gráfico,28,131.3,0,Alto clientes recurrentes / Alto horas trabajadas mes,-1.8719640083438611,-0.1836720854543981
FL0020,18,42021.49,110.51,2.6,3.2,97.4,4.72,Diseño Gráfico,15,26.8,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.4110943302721254,1.0106295410495436
FL0021,5,2495.26,13.22,1.0,25.7,55.0,3.39,Desarrollo de Software,1,38.9,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.7689058913520235,0.0803656261389265
FL0022,6,1253.88,13.91,2.7,38.1,39.8,3.1,Diseño Gráfico,3,12.6,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,3.894143032522864,0.4280904616136272
FL0023,19,61446.45,154.1,7.6,7.8,85.2,sin dato,Desarrollo de Software,3,90.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.7144233969450718,1.5239089011356048
