freelancer_id,proyectos_completados,ingresos_totales,tarifa_hora_promedio,anios_experiencia,tiempo_respuesta_horas,tasa_finalizacion,calificacion_promedio,categoria_principal,clientes_recurrentes,horas_trabajadas_mes,cluster,cluster_name,pc1,pc2
FL0001,42,73500.53,107.08,14.5,4.9,90.1,4.26,Desarrollo de Software,8,69.3,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,-1.428069761880543,2.629886608389901
FL0002,37,4601.49,20.75,3.4,7.3,68.1,4.57,Diseño Gráfico,10,85.5,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,0.7809874543233494,-0.5045052865770051
FL0003,9,2441.74,16.61,1.8,43.2,54.9,3.0,Diseño Gráfico,2,27.9,0,Alto tiempo respuesta horas / Bajo tasa finalizacion,3.646440141658981,0.2963269274637685
FL0004,47,9472.69,22.31,2.6,7.1,79.9,4.53,Diseño Gráfico,11,73.0,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,0.5041972119228598,-0.2959883507874729
FL0005,19,30214.17,61.33,5.0,6.8,87.1,4.75,Marketing Digital,13,56.6,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,-0.0922180376970403,0.6980941809114003
FL0006,61,7057.3,16.28,4.5,8.9,81.3,3.94,Redacción y Traducción,7,105.9,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,0.3943136775643973,-0.4508185673302045
FL0007,59,11443.02,28.79,2.6,7.4,78.6,4.3,Soporte Administrativo Virtual,12,135.4,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,-0.0771729124215609,-1.0490987223300785
FL0008,4,11774.12,30.81,3.0,8.9,82.9,3.94,Desarrollo de Software,8,78.6,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,0.4602944716110236,-0.1192526292224682
FL0009,36,39134.4,134.45,8.9,2.6,91.7,4.66,Desarrollo de Software,7,62.2,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,-0.6094407406679152,1.3587320585380804
FL0010,30,36477.34,163.64,10.7,7.6,98.1,4.71,Marketing Digital,22,43.7,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,-0.8548644671082237,1.4000757198031104
FL0011,149,32755.06,50.07,8.7,2.8,98.6,4.73,Soporte Administrativo Virtual,20,177.7,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,-2.1027546531612544,-0.5745065419571744
