review_id,freelancer_id,client_id,review_text,client_rating,communication_score,quality_score,delivery_score,budget_usd,project_category,cluster,cluster_name,pc1,pc2
1,1,1412,la entrega fue aceptable pero la comunicacion pudo ser mejor se evaluo tiempo calidad y comunicacion,4.11,4.0,3.63,3.6,4782.84,mobile_development,0,Trabajo / Buena,0.2553715389722778,-0.08782705967504595
2,2,1393,la comunicacion fue lenta y algunos requerimientos no quedaron claros el alcance incluia revision de entregables,3.12,2.68,2.24,2.96,1623.1,customer_support,1,Alcance / Revision,0.1639587503536611,-0.01904470462967833
3,3,1717,la calidad fue alta y mantuvo comunicacion constante durante el proceso se evaluo tiempo calidad y comunicacion,4.79,4.33,4.89,4.77,2113.29,web_development,2,Calidad / Proyecto,0.4290873859875858,-0.24929675818480868
4,4,1488,la calidad fue alta y mantuvo comunicacion constante durante el proceso se evaluo tiempo calidad y comunicacion,4.98,4.52,4.48,4.69,3560.14,graphic_design,2,Calidad / Proyecto,0.4290873859875858,-0.24929675818480868
5,5,1805,cumplio con la mayor parte del alcance definido se evaluo tiempo calidad y comunicacion,3.55,3.77,3.36,3.42,3342.4,web_development,1,Alcance / Revision,0.24889186851631964,-0.04872914749445477
6,6,1156,excelente trabajo buena comunicacion y entrega rapida el proyecto fue realizado en modalidad remota,4.57,5.0,4.53,4.53,4198.9,digital_marketing,0,Trabajo / Buena,0.4193955828456119,-0.2036454647656769
7,7,1743,la entrega fue aceptable pero la comunicacion pudo ser mejor se evaluo tiempo calidad y comunicacion,3.44,3.87,3.32,3.59,269.78,customer_support,0,Trabajo / Buena,0.2553715389722778,-0.08782705967504595
8,8,1728,muy buen servicio recomendado para proyectos futuros se evaluo tiempo calidad y comunicacion,4.6,4.37,4.53,4.67,1009.45,copywriting,1,Alcance / Revision,0.3387982691383164,-0.06537790611301461
9,9,1271,muy profesional cumplio con todos los requerimientos del proyecto la experiencia general fue registrada por el cliente,4.73,4.67,4.45,4.51,367.9,graphic_design,2,Calidad / Proyecto,0.36495445661702364,-0.019598354241169152
10,10,1062,resultado funcional con algunos detalles pendientes al inicio se evaluo tiempo calidad y comunicacion,3.96,4.01,3.68,3.11,4186.68,data_analysis,2,Calidad / Proyecto,0.21267730127759066,-0.053526171195825235
11,11,1530,entrego antes de la fecha limite y resolvio cambios rapidamente se evaluo tiempo calidad y comunicacion,4.77,4.49,4.86,4.25,4988.47,data_analysis,2,Calidad / Proyecto,0.4358299568953442,0.6860530701720509
12,12,1662,trabajo limpio bien documentado y con buena atencion al cliente se evaluo tiempo calidad y comunicacion,4.93,4.84,4.89,4.99,1369.95,customer_support,0,Trabajo / Buena,0.4721342502868318,-0.31102516550804465
13,13,1010,resultado funcional con algunos detalles pendientes al inicio el cliente solicito cambios adicionales,4.0,4.25,4.05,3.51,2643.61,graphic_design,2,Calidad / Proyecto,0.21193499056504594,0.03155468246696069
14,14,1670,el trabajo fue correcto aunque hubo algunos ajustes menores el proyecto fue realizado en modalidad remota,3.69,4.22,3.59,3.3,3254.98,mobile_development,0,Trabajo / Buena,0.2055904992311845,-0.04574197773761029
15,15,2033,muy buen servicio recomendado para proyectos futuros se evaluo tiempo calidad y comunicacion,4.72,4.94,4.87,4.21,2530.69,graphic_design,1,Alcance / Revision,0.3387982691383164,-0.06537790611301461
16,16,1727,la entrega fue aceptable pero la comunicacion pudo ser mejor la experiencia general fue registrada por el cliente,4.13,3.94,3.98,4.26,2110.08,web_development,0,Trabajo / Buena,0.24598429812093772,-0.04813011987452393
17,17,2107,la entrega se atraso y fue necesario solicitar muchas correcciones la experiencia general fue registrada por el cliente,2.83,3.0,2.75,2.13,2238.52,graphic_design,0,Trabajo / Buena,0.16135453486589602,-0.019596205248422063
18,18,1289,cumplio con la mayor parte del alcance definido el cliente solicito cambios adicionales,4.16,3.83,3.92,3.53,68.67,web_development,1,Alcance / Revision,0.24892040604296553,0.043774130270476094
19,19,1179,trabajo limpio bien documentado y con buena atencion al cliente el alcance incluia revision de entregables,4.91,4.63,4.65,4.23,793.94,mobile_development,0,Trabajo / Buena,0.43735375846862357,-0.2612008221637431
20,20,1386,resultado funcional con algunos detalles pendientes al inicio se evaluo tiempo calidad y comunicacion,3.97,4.32,3.68,3.81,1461.01,machine_learning,2,Calidad / Proyecto,0.21267730127759066,-0.053526171195825235
21,21,1512,entrego antes de la fecha limite y resolvio cambios rapidamente el alcance incluia revision de entregables,4.49,4.68,4.48,4.42,4762.63,data_analysis,1,Alcance / Revision,0.40261978897456496,0.7183178306504169
22,22,1286,buena disposicion para corregir observaciones despues de la revision el alcance incluia revision de entregables,3.53,3.85,4.29,3.53,4735.69,graphic_design,1,Alcance / Revision,0.21012874880312718,-0.03720751675177764
23,23,1358,se necesito retrabajo porque la primera version tenia errores importantes la experiencia general fue registrada por el cliente,3.06,1.88,3.06,1.55,4214.41,customer_support,2,Calidad / Proyecto,0.11603959929782837,-0.005002998668383143
24,24,2071,excelente trabajo buena comunicacion y entrega rapida la experiencia general fue registrada por el cliente,4.54,4.36,4.73,4.77,3634.85,mobile_development,0,Trabajo / Buena,0.42502318402877753,-0.1990261469323521
25,25,1938,muy profesional cumplio con todos los requerimientos del proyecto el alcance incluia revision de entregables,4.67,4.66,4.94,4.23,2360.35,data_analysis,1,Alcance / Revision,0.3467784723359817,-0.017093122250106327
26,26,1763,cumplio con la mayor parte del alcance definido la experiencia general fue registrada por el cliente,4.12,3.77,3.45,3.65,250.95,web_development,1,Alcance / Revision,0.23705451600815616,-0.007884944006124026
27,27,2156,se necesito retrabajo porque la primera version tenia errores importantes el alcance incluia revision de entregables,2.68,2.54,3.33,1.77,2026.38,web_development,1,Alcance / Revision,0.10678157413428893,-0.0035492159197932993
28,28,1629,muy buen servicio recomendado para proyectos futuros el proyecto fue realizado en modalidad remota,4.79,4.67,4.41,4.81,309.76,web_development,1,Alcance / Revision,0.3169425230792446,-0.02421572013193888
29,29,1471,muy buen servicio recomendado para proyectos futuros el alcance incluia revision de entregables,4.93,4.89,4.44,4.94,4061.87,data_analysis,1,Alcance / Revision,0.3044048235574527,-0.016883245622181985
30,30,1242,excelente trabajo buena comunicacion y entrega rapida el cliente solicito cambios adicionales,4.52,4.48,4.79,4.98,4153.21,mobile_development,0,Trabajo / Buena,0.4413960815227763,-0.1442358814714688
31,31,1532,entrego antes de la fecha limite y resolvio cambios rapidamente el cliente solicito cambios adicionales,4.49,4.32,4.66,4.9,2248.77,machine_learning,2,Calidad / Proyecto,0.42361174624686704,0.7615499571844175
32,32,1190,excelente trabajo buena comunicacion y entrega rapida el proyecto fue realizado en modalidad remota,4.89,4.41,4.58,4.34,4189.37,copywriting,0,Trabajo / Buena,0.4193955828456119,-0.2036454647656769
33,33,1246,la calidad fue alta y mantuvo comunicacion constante durante el proceso el cliente solicito cambios adicionales,4.46,4.38,4.7,4.59,1587.07,data_analysis,2,Calidad / Proyecto,0.44738001028300783,-0.16533786720924093
