freelancer_id,proyectos_completados,ingresos_totales,tarifa_hora_promedio,anios_experiencia,tiempo_respuesta_horas,tasa_finalizacion,calificacion_promedio,categoria_principal,clientes_recurrentes,horas_trabajadas_mes,cluster,cluster_name,pc1,pc2
FL0001,42,73500.53,107.08,14.5,4.9,90.1,4.26,Desarrollo de Software,8,69.3,1,Alto ingresos totales / Alto anios experiencia,-1.4280697618805442,2.629886608389884
FL0002,37,4601.49,20.75,3.4,7.3,68.1,4.57,Diseño Gráfico,10,85.5,2,Bajo ingresos totales / Bajo anios experiencia,0.7809874543233479,-0.5045052865770526
FL0003,9,2441.74,16.61,1.8,43.2,54.9,3.0,Diseño Gráfico,2,27.9,0,Alto tiempo respuesta horas / Bajo tasa finalizacion,3.646440141658984,0.2963269274640552
FL0004,47,9472.69,22.31,2.6,7.1,79.9,4.53,Diseño Gráfico,11,73.0,2,Bajo ingresos totales / Bajo anios experiencia,0.5041972119228587,-0.29598835078738694
FL0005,19,30214.17,61.33,5.0,6.8,87.1,4.75,Marketing Digital,13,56.6,1,Alto ingresos totales / Alto anios experiencia,-0.09221803769703882,0.6980941809108107
FL0006,61,7057.3,16.28,4.5,8.9,81.3,3.94,Redacción y Traducción,7,105.9,2,Bajo ingresos totales / Bajo anios experiencia,0.39431367756439545,-0.45081856733027215
FL0007,59,11443.02,28.79,2.6,7.4,78.6,4.3,Soporte Administrativo Virtual,12,135.4,2,Bajo ingresos totales / Bajo anios experiencia,-0.07717291242156339,-1.0490987223300192
FL0008,4,11774.12,30.81,3.0,8.9,82.9,3.94,Desarrollo de Software,8,78.6,2,Bajo ingresos totales / Bajo anios experiencia,0.46029447161102305,-0.1192526292224409
FL0009,36,39134.4,134.45,8.9,2.6,91.7,4.66,Desarrollo de Software,7,62.2,1,Alto ingresos totales / Alto anios experiencia,-0.6094407406679129,1.3587320585383307
FL0010,30,36477.34,163.64,10.7,7.6,98.1,4.71,Marketing Digital,22,43.7,1,Alto ingresos totales / Alto anios experiencia,-0.8548644671082216,1.400075719803198
FL0011,149,32755.06,50.07,8.7,2.8,98.6,4.73,Soporte Administrativo Virtual,20,177.7,3,Alto clientes recurrentes / Alto horas trabajadas mes,-2.102754653161254,-0.5745065419572247
FL0012,28,12344.64,25.15,3.4,6.7,83.6,4.1,Marketing Digital,14,88.8,2,Bajo ingresos totales / Bajo anios experiencia,0.05173784758912352,-0.32238151097141843
