freelancer_id,hourly_rate,experience_years,rating,completed_projects,on_time_delivery_rate,response_time_hours,profile_views,repeat_client_rate,skill_category,country,english_level,availability,platform_badge,cluster,cluster_name,pc1,pc2
1,20.63,4.1,4.33,119,83.4,12.6,1149,36.8,mobile_development,Argentina,intermediate,part_time,none,2,Bajo response time hours / Alto on time delivery rate,-0.1276925409384903,-0.7322824396327455
2,72.25,8.8,4.84,83,97.6,2.1,1927,61.1,copywriting,Mexico,basic,part_time,rising_talent,1,Alto completed projects / Alto experience years,2.250973467068033,-0.5688251697000796
3,40.18,5.9,4.52,73,83.1,6.8,1492,40.1,data_analysis,Guatemala,advanced,weekends,expert_vetted,2,Bajo response time hours / Alto on time delivery rate,0.39033369519758115,-0.6740726414519195
4,88.32,10.0,4.78,266,91.6,3.5,7110,73.5,graphic_design,Argentina,intermediate,full_time,expert_vetted,1,Alto completed projects / Alto experience years,4.311090209759065,1.2295563599470107
5,33.92,5.7,4.71,32,85.2,3.4,1018,27.6,copywriting,Argentina,advanced,full_time,verified,2,Bajo response time hours / Alto on time delivery rate,0.03585306431037147,-1.289611553866934
6,26.62,4.0,4.54,58,92.5,8.6,2166,38.3,customer_support,Mexico,advanced,weekends,none,2,Bajo response time hours / Alto on time delivery rate,0.30030215807624705,-1.2043990495542913
7,157.66,1.8,2.64,30,77.2,104.72,1112,21.8,copywriting,Mexico,intermediate,part_time,none,0,Bajo on time delivery rate / Bajo rating,-2.0364808174385804,5.556395125653869
8,80.98,14.8,4.9,339,99.1,7.1,8441,54.9,copywriting,Colombia,advanced,weekends,top_rated,1,Alto completed projects / Alto experience years,5.159966757813176,1.6499364518433433
9,12.54,0.1,4.34,20,70.5,19.2,1390,15.0,data_analysis,Colombia,basic,full_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-1.8822251529031506,-0.9202034792455779
10,20.21,1.3,3.69,35,82.4,36.2,1296,18.4,customer_support,El Salvador,basic,part_time,none,0,Bajo on time delivery rate / Bajo rating,-1.899436079853876,0.07311508121938358
