freelancer_id,proyectos_completados,ingresos_totales,tarifa_hora_promedio,anios_experiencia,tiempo_respuesta_horas,tasa_finalizacion,calificacion_promedio,categoria_principal,clientes_recurrentes,horas_trabajadas_mes,cluster,cluster_name,pc1,pc2
FL0001,42,73500.53,107.08,14.5,4.9,90.1,4.26,Desarrollo de Software,8,69.3,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-1.4280697618805256,2.6298866083899033
FL0002,37,4601.49,20.75,3.4,7.3,68.1,4.57,Diseño Gráfico,10,85.5,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.7809874543233484,-0.5045052865770048
FL0003,9,2441.74,16.61,1.8,43.2,54.9,3.0,Diseño Gráfico,2,27.9,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,3.6464401416589833,0.2963269274640659
FL0004,47,9472.69,22.31,2.6,7.1,79.9,4.53,Diseño Gráfico,11,73.0,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.5041972119228585,-0.29598835078736746
FL0005,19,30214.17,61.33,5.0,6.8,87.1,4.75,Marketing Digital,13,56.6,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.09221803769703983,0.698094180910783
FL0006,61,7057.3,16.28,4.5,8.9,81.3,3.94,Redacción y Traducción,7,105.9,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.39431367756439606,-0.45081856733025816
FL0007,59,11443.02,28.79,2.6,7.4,78.6,4.3,Soporte Administrativo Virtual,12,135.4,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.07717291242156214,-1.049098722330017
FL0008,4,11774.12,30.81,3.0,8.9,82.9,3.94,Desarrollo de Software,8,78.6,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.46029447161102377,-0.11925262922242806
FL0009,36,39134.4,134.45,8.9,2.6,91.7,4.66,Desarrollo de Software,7,62.2,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.6094407406679148,1.3587320585382978
FL0010,30,36477.34,163.64,10.7,7.6,98.1,4.71,Marketing Digital,22,43.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.8548644671082246,1.4000757198031757
FL0011,149,32755.06,50.07,8.7,2.8,98.6,4.73,Soporte Administrativo Virtual,20,177.7,0,Alto clientes recurrentes / Alto horas trabajadas mes,-2.1027546531612558,-0.5745065419572425
FL0012,28,12344.64,25.15,3.4,6.7,83.6,4.1,Marketing Digital,14,88.8,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.05173784758912373,-0.3223815109714564
FL0013,18,11676.58,19.54,1.3,11.5,78.5,4.58,Redacción y Traducción,8,90.1,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.7308773257996856,-0.4699675016659691
FL0014,10,2081.96,11.15,3.1,40.9,65.9,3.34,Marketing Digital,0,66.7,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.9191872413289577,0.0902091967836689
FL0015,7,1577.16,14.32,1.4,18.5,70.8,2.87,Diseño Gráfico,0,53.4,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.011814320639004,-0.08626463775117642
FL0016,45,11946.95,28.31,3.5,4.2,69.7,4.23,Soporte Administrativo Virtual,10,98.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.37662230219826026,-0.5087811186116514
FL0017,57,7023.28,25.33,3.5,6.2,83.3,4.57,Diseño Gráfico,13,106.8,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.0005619718239259039,-0.7130943707680041
FL0018,38,4470.07,20.77,1.5,2.9,71.4,4.48,Soporte Administrativo Virtual,12,80.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.596899802135513,-0.7071685457623559
FL0019,79,32434.21,57.64,9.0,3.2,95.1,4.92,Diseño Gráfico,28,131.3,0,Alto clientes recurrentes / Alto horas trabajadas mes,-1.871964008343861,-0.18367208545435657
FL0020,18,42021.49,110.51,2.6,3.2,97.4,4.72,Diseño Gráfico,15,26.8,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.41109433027212156,1.0106295410498982
FL0021,5,2495.26,13.22,1.0,25.7,55.0,3.39,Desarrollo de Software,1,38.9,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.768905891352022,0.08036562613899774
FL0022,6,1253.88,13.91,2.7,38.1,39.8,3.1,Diseño Gráfico,3,12.6,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,3.8941430325228623,0.4280904616125464
FL0023,19,61446.45,154.1,7.6,7.8,85.2,sin dato,Desarrollo de Software,3,90.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.7144233969450683,1.5239089011349274
FL0024,16,44009.14,136.39,7.2,5.1,91.3,4.5,Desarrollo de Software,9,103.2,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.9685063692671428,0.7772300569563996
FL0025,34,11602.01,46.15,3.8,7.7,69.9,3.94,Redacción y Traducción,9,91.6,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.6316985063037154,-0.32923718853446
FL0026,55,4135.93,23.38,3.1,11.8,77.4,4.06,Soporte Administrativo Virtual,6,87.1,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.9363779198889013,-0.42979104017432157
FL0027,110,33721.68,63.04,6.4,3.1,95.1,4.51,Desarrollo de Software,29,118.2,0,Alto clientes recurrentes / Alto horas trabajadas mes,-1.7642735566524306,-0.21043579550474426
FL0028,37,5420.91,22.39,3.2,9.8,85.3,4.22,Diseño Gráfico,10,76.2,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.5522742651917174,-0.31627667531314324
FL0029,21,57612.17,155.55,7.7,3.9,90.3,4.55,Marketing Digital,15,62.3,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-1.0417064034374925,1.517842820718093
FL0030,40,7566.26,22.58,3.2,10.3,79.6,4.42,Desarrollo de Software,10,77.3,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.6065675640138304,-0.23241677972065397
FL0031,27,25671.48,146.47,12.0,5.3,87.4,4.47,Desarrollo de Software,21,60.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.7133501618928804,1.0192742712846488
FL0032,98,44948.97,64.22,6.2,3.5,91.8,4.85,Diseño Gráfico,45,140.7,0,Alto clientes recurrentes / Alto horas trabajadas mes,-2.5801301181200724,-0.6882982636883044
FL0033,24,45162.98,130.49,11.6,7.2,99.0,4.36,Diseño Gráfico,16,53.8,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.9718004516331931,1.649596412692604
FL0034,40,13560.11,20.48,4.4,4.3,71.8,4.28,Redacción y Traducción,7,92.5,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.43441259477814076,-0.1907891005807195
FL0035,8,834.33,6.97,0.0,6.1,49.3,2.16,Soporte Administrativo Virtual,0,71.9,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,1.9229787615051612,-0.6165085030856206
FL0036,28,57507.68,114.13,12.4,5.0,87.6,4.61,Soporte Administrativo Virtual,11,79.1,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-1.0884565492234834,1.7737669825744218
FL0037,8,30219.02,109.01,6.8,5.5,94.2,4.63,Desarrollo de Software,9,59.6,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.32040577271016835,0.9464335843685014
FL0038,42,29473.92,53.05,10.1,1.3,92.8,4.96,Desarrollo de Software,40,150.1,0,Alto clientes recurrentes / Alto horas trabajadas mes,-2.5325186058544658,-0.6158324913778237
FL0039,23,51952.61,desconocido,9.9,7.2,88.3,4.5,Marketing Digital,13,58.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.7219406443986206,1.6868837151889036
FL0040,32,8195.29,19.34,4.2,7.0,68.5,3.68,Marketing Digital,13,66.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.7309749999017235,-0.12085668038131765
FL0041,20,65972.62,135.48,6.7,4.2,98.7,4.77,Diseño Gráfico,8,49.6,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.9894700226530162,1.905821362752311
FL0042,35,11078.59,10.93,2.5,6.3,85.7,4.09,Soporte Administrativo Virtual,14,83.0,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.14238394182129288,-0.4507180383663904
FL0043,48,4805.81,22.8,3.4,9.0,70.6,4.08,Diseño Gráfico,18,113.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.249777812495983,-1.0260546172094809
FL0044,145,32539.37,68.58,3.5,3.8,95.1,4.86,Desarrollo de Software,26,150.6,0,Alto clientes recurrentes / Alto horas trabajadas mes,-1.80329451487032,-0.8456803375674234
FL0045,89,31637.38,47.4,7.8,2.6,92.7,4.54,Redacción y Traducción,22,155.7,0,Alto clientes recurrentes / Alto horas trabajadas mes,-1.7581101727980426,-0.46534110670035467
FL0046,63,11715.07,16.88,2.4,12.0,80.7,4.03,Diseño Gráfico,15,79.4,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.47188660424847567,-0.41348139968087794
FL0047,30,31248.87,126.57,8.5,5.3,86.7,4.41,Marketing Digital,5,57.8,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.03624019702120819,1.2305578254417533
FL0048,36,47531.97,140.66,10.9,5.6,95.7,4.6,Desarrollo de Software,14,71.1,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-1.1349761898945667,1.52344915204796
FL0049,12,2281.19,15.2,1.5,27.0,50.2,2.22,Redacción y Traducción,2,51.1,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.8778361744365673,-0.1051433141048795
FL0050,14,1887.72,7.39,0.6,30.1,60.5,2.78,Soporte Administrativo Virtual,0,23.2,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,3.125818793941907,0.212653639540565
FL0051,82,10322.84,22.98,4.2,6.1,79.8,3.94,Soporte Administrativo Virtual,8,76.9,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.4904149327011812,-0.11736109739155183
FL0052,10,896.03,10.8,1.3,30.2,63.3,3.37,Desarrollo de Software,1,43.9,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.7345356809224786,0.06508935857064406
FL0053,149,39799.84,53.41,5.1,2.2,94.7,4.67,Marketing Digital,37,138.9,0,Alto clientes recurrentes / Alto horas trabajadas mes,-2.285333635091079,-0.6255185449004942
FL0054,28,55636.66,155.8,10.2,3.6,88.3,4.6,Marketing Digital,6,74.2,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.8724478038215696,1.774271958392618
FL0055,148,31195.59,51.48,6.8,2.7,98.8,4.76,Marketing Digital,46,126.9,0,Alto clientes recurrentes / Alto horas trabajadas mes,-2.460467513593322,-0.7228552678951986
FL0056,54,5012.86,24.4,3.0,8.4,75.4,4.45,Desarrollo de Software,18,74.6,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.4317322421406625,-0.5071959921715925
FL0057,13,2698.98,10.49,0.1,34.0,61.6,3.71,Marketing Digital,5,53.2,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.777612151011643,-0.1957456476410498
FL0058,112,33003.57,39.08,7.0,4.1,96.5,4.73,Desarrollo de Software,30,109.7,0,Alto clientes recurrentes / Alto horas trabajadas mes,-1.7190765148604503,-0.08522034017646488
FL0059,0,1182.1,12.38,1.4,8.6,55.3,3.16,Diseño Gráfico,1,1.6,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.43226724919288,0.40099092518063667
FL0060,6,1732.62,10.63,0.3,17.8,29.9,1.6,Soporte Administrativo Virtual,5,74.3,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.6997690584789,-0.7422889328549426
FL0061,32,5369.11,33.35,3.6,8.9,85.2,4.29,Desarrollo de Software,12,86.1,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.28042337303246817,-0.3939309860388565
FL0062,5,1480.05,16.23,0.3,34.0,64.6,2.68,Redacción y Traducción,2,15.3,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,3.24119816911334,0.28413913047097966
FL0063,101,28710.22,52.72,5.3,3.0,95.6,4.48,Marketing Digital,55,151.1,0,Alto clientes recurrentes / Alto horas trabajadas mes,-2.8038725747080697,-1.45207007703011
FL0064,153,29847.78,58.48,10.5,3.7,93.1,4.61,Desarrollo de Software,39,146.1,0,Alto clientes recurrentes / Alto horas trabajadas mes,-2.388004008391556,-0.4887801567308734
FL0065,19,41459.28,184.31,6.2,6.3,91.2,4.69,Marketing Digital,11,61.9,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.4549912036813716,1.0815410051827485
FL0066,0,1621.38,10.76,0.1,34.0,45.0,2.84,Soporte Administrativo Virtual,4,52.3,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,3.304525692605117,-0.33499313604686554
FL0067,15,496.85,5.93,1.8,35.8,85.3,3.18,Soporte Administrativo Virtual,1,29.3,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.657064392375642,0.32669819588004684
FL0068,13,2057.26,14.3,0.3,12.7,53.0,4.3,Soporte Administrativo Virtual,1,49.6,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.265689776061315,-0.27219128284786326
FL0069,91,35329.05,64.16,7.7,1.2,95.6,4.54,Redacción y Traducción,20,156.0,0,Alto clientes recurrentes / Alto horas trabajadas mes,-1.890597400022743,-0.33544608049900687
FL0070,9,1897.05,16.81,0.5,2.1,41.4,3.22,Soporte Administrativo Virtual,0,16.4,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.430373237543682,0.07584334533687374
FL0071,61,10294.24,20.4,2.8,8.3,73.2,4.1,Redacción y Traducción,4,87.8,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.8490151400553526,-0.28148750968326836
FL0072,22,52871.12,147.95,8.8,4.8,95.3,4.7,Marketing Digital,14,95.0,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-1.3622429471756412,1.1595280017667637
FL0073,30,35204.0,180.3,11.4,3.4,95.9,4.71,Diseño Gráfico,15,61.5,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.9129096977913932,1.2916945226759229
FL0074,20,31630.85,114.39,12.3,6.5,87.1,4.59,Marketing Digital,10,63.4,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.3781373919712778,1.4476506678176715
