freelancer_id,proyectos_completados,ingresos_totales,tarifa_hora_promedio,anios_experiencia,tiempo_respuesta_horas,tasa_finalizacion,calificacion_promedio,categoria_principal,clientes_recurrentes,horas_trabajadas_mes,cluster,cluster_name,pc1,pc2
FL0001,42,73500.53,107.08,14.5,4.9,90.1,4.26,Desarrollo de Software,8,69.3,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-1.4280697618805325,2.6298866083899037
FL0002,37,4601.49,20.75,3.4,7.3,68.1,4.57,Diseño Gráfico,10,85.5,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.7809874543233482,-0.5045052865769872
FL0003,9,2441.74,16.61,1.8,43.2,54.9,3.0,Diseño Gráfico,2,27.9,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,3.646440141658982,0.2963269274641016
FL0004,47,9472.69,22.31,2.6,7.1,79.9,4.53,Diseño Gráfico,11,73.0,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.5041972119228582,-0.2959883507873519
FL0005,19,30214.17,61.33,5.0,6.8,87.1,4.75,Marketing Digital,13,56.6,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.09221803769703943,0.6980941809107788
FL0006,61,7057.3,16.28,4.5,8.9,81.3,3.94,Redacción y Traducción,7,105.9,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.39431367756439695,-0.4508185673302375
FL0007,59,11443.02,28.79,2.6,7.4,78.6,4.3,Soporte Administrativo Virtual,12,135.4,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.07717291242156255,-1.0490987223300048
FL0008,4,11774.12,30.81,3.0,8.9,82.9,3.94,Desarrollo de Software,8,78.6,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.46029447161102344,-0.11925262922240996
FL0009,36,39134.4,134.45,8.9,2.6,91.7,4.66,Desarrollo de Software,7,62.2,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.6094407406679146,1.3587320585382578
FL0010,30,36477.34,163.64,10.7,7.6,98.1,4.71,Marketing Digital,22,43.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.8548644671082231,1.4000757198031988
FL0011,149,32755.06,50.07,8.7,2.8,98.6,4.73,Soporte Administrativo Virtual,20,177.7,0,Alto clientes recurrentes / Alto horas trabajadas mes,-2.1027546531612584,-0.5745065419572222
FL0012,28,12344.64,25.15,3.4,6.7,83.6,4.1,Marketing Digital,14,88.8,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.051737847589124024,-0.3223815109714635
FL0013,18,11676.58,19.54,1.3,11.5,78.5,4.58,Redacción y Traducción,8,90.1,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.730877325799686,-0.46996750166596185
FL0014,10,2081.96,11.15,3.1,40.9,65.9,3.34,Marketing Digital,0,66.7,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.919187241328958,0.09020919678371296
FL0015,7,1577.16,14.32,1.4,18.5,70.8,2.87,Diseño Gráfico,0,53.4,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.0118143206390053,-0.08626463775117071
FL0016,45,11946.95,28.31,3.5,4.2,69.7,4.23,Soporte Administrativo Virtual,10,98.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.3766223021982601,-0.5087811186116675
FL0017,57,7023.28,25.33,3.5,6.2,83.3,4.57,Diseño Gráfico,13,106.8,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.0005619718239263519,-0.7130943707680066
FL0018,38,4470.07,20.77,1.5,2.9,71.4,4.48,Soporte Administrativo Virtual,12,80.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.5968998021355126,-0.7071685457623589
FL0019,79,32434.21,57.64,9.0,3.2,95.1,4.92,Diseño Gráfico,28,131.3,0,Alto clientes recurrentes / Alto horas trabajadas mes,-1.871964008343861,-0.18367208545434124
FL0020,18,42021.49,110.51,2.6,3.2,97.4,4.72,Diseño Gráfico,15,26.8,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.4110943302721218,1.0106295410498185
FL0021,5,2495.26,13.22,1.0,25.7,55.0,3.39,Desarrollo de Software,1,38.9,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.7689058913520204,0.08036562613902146
FL0022,6,1253.88,13.91,2.7,38.1,39.8,3.1,Diseño Gráfico,3,12.6,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,3.8941430325228605,0.42809046161261466
FL0023,19,61446.45,154.1,7.6,7.8,85.2,sin dato,Desarrollo de Software,3,90.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.7144233969450683,1.5239089011349112
FL0024,16,44009.14,136.39,7.2,5.1,91.3,4.5,Desarrollo de Software,9,103.2,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.9685063692671435,0.7772300569563859
FL0025,34,11602.01,46.15,3.8,7.7,69.9,3.94,Redacción y Traducción,9,91.6,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.6316985063037157,-0.3292371885344571
FL0026,55,4135.93,23.38,3.1,11.8,77.4,4.06,Soporte Administrativo Virtual,6,87.1,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.9363779198889016,-0.42979104017431813
FL0027,110,33721.68,63.04,6.4,3.1,95.1,4.51,Desarrollo de Software,29,118.2,0,Alto clientes recurrentes / Alto horas trabajadas mes,-1.7642735566524328,-0.21043579550472646
FL0028,37,5420.91,22.39,3.2,9.8,85.3,4.22,Diseño Gráfico,10,76.2,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.5522742651917174,-0.31627667531311393
FL0029,21,57612.17,155.55,7.7,3.9,90.3,4.55,Marketing Digital,15,62.3,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-1.0417064034374923,1.5178428207180876
FL0030,40,7566.26,22.58,3.2,10.3,79.6,4.42,Desarrollo de Software,10,77.3,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.6065675640138304,-0.23241677972065128
FL0031,27,25671.48,146.47,12.0,5.3,87.4,4.47,Desarrollo de Software,21,60.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.7133501618928797,1.0192742712846696
FL0032,98,44948.97,64.22,6.2,3.5,91.8,4.85,Diseño Gráfico,45,140.7,0,Alto clientes recurrentes / Alto horas trabajadas mes,-2.5801301181200764,-0.6882982636883108
FL0033,24,45162.98,130.49,11.6,7.2,99.0,4.36,Diseño Gráfico,16,53.8,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.9718004516331924,1.649596412692625
FL0034,40,13560.11,20.48,4.4,4.3,71.8,4.28,Redacción y Traducción,7,92.5,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.4344125947781411,-0.19078910058072115
FL0035,8,834.33,6.97,0.0,6.1,49.3,2.16,Soporte Administrativo Virtual,0,71.9,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,1.9229787615051603,-0.6165085030856636
FL0036,28,57507.68,114.13,12.4,5.0,87.6,4.61,Soporte Administrativo Virtual,11,79.1,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-1.0884565492234834,1.7737669825744038
FL0037,8,30219.02,109.01,6.8,5.5,94.2,4.63,Desarrollo de Software,9,59.6,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.320405772710168,0.9464335843684522
FL0038,42,29473.92,53.05,10.1,1.3,92.8,4.96,Desarrollo de Software,40,150.1,0,Alto clientes recurrentes / Alto horas trabajadas mes,-2.53251860585447,-0.6158324913778122
FL0039,23,51952.61,desconocido,9.9,7.2,88.3,4.5,Marketing Digital,13,58.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.7219406443986195,1.6868837151887355
FL0040,32,8195.29,19.34,4.2,7.0,68.5,3.68,Marketing Digital,13,66.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.7309749999017237,-0.12085668038130408
FL0041,20,65972.62,135.48,6.7,4.2,98.7,4.77,Diseño Gráfico,8,49.6,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.9894700226530163,1.905821362752358
FL0042,35,11078.59,10.93,2.5,6.3,85.7,4.09,Soporte Administrativo Virtual,14,83.0,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.1423839418212929,-0.45071803836647883
FL0043,48,4805.81,22.8,3.4,9.0,70.6,4.08,Diseño Gráfico,18,113.7,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.24977781249598224,-1.026054617209465
FL0044,145,32539.37,68.58,3.5,3.8,95.1,4.86,Desarrollo de Software,26,150.6,0,Alto clientes recurrentes / Alto horas trabajadas mes,-1.8032945148703206,-0.8456803375674138
FL0045,89,31637.38,47.4,7.8,2.6,92.7,4.54,Redacción y Traducción,22,155.7,0,Alto clientes recurrentes / Alto horas trabajadas mes,-1.7581101727980428,-0.46534110670036327
FL0046,63,11715.07,16.88,2.4,12.0,80.7,4.03,Diseño Gráfico,15,79.4,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,0.4718866042484757,-0.4134813996808646
FL0047,30,31248.87,126.57,8.5,5.3,86.7,4.41,Marketing Digital,5,57.8,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-0.03624019702120728,1.2305578254417537
FL0048,36,47531.97,140.66,10.9,5.6,95.7,4.6,Desarrollo de Software,14,71.1,2,Bajo tiempo respuesta horas / Bajo clientes recurrentes,-1.1349761898945665,1.523449152047927
FL0049,12,2281.19,15.2,1.5,27.0,50.2,2.22,Redacción y Traducción,2,51.1,1,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.877836174436565,-0.105143314104857
