freelancer_id,proyectos_completados,ingresos_totales,tarifa_hora_promedio,anios_experiencia,tiempo_respuesta_horas,tasa_finalizacion,calificacion_promedio,categoria_principal,clientes_recurrentes,horas_trabajadas_mes,cluster,cluster_name,pc1,pc2
FL0001,42,73500.53,107.08,14.5,4.9,90.1,4.26,Desarrollo de Software,8,69.3,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,-1.4280697618805493,2.6298866083899557
FL0002,37,4601.49,20.75,3.4,7.3,68.1,4.57,Diseño Gráfico,10,85.5,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,0.7809874543233504,-0.5045052865770325
FL0003,9,2441.74,16.61,1.8,43.2,54.9,3.0,Diseño Gráfico,2,27.9,0,Alto tiempo respuesta horas / Bajo tasa finalizacion,3.6464401416589856,0.29632692746402184
FL0004,47,9472.69,22.31,2.6,7.1,79.9,4.53,Diseño Gráfico,11,73.0,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,0.50419721192286,-0.2959883507873392
FL0005,19,30214.17,61.33,5.0,6.8,87.1,4.75,Marketing Digital,13,56.6,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,-0.09221803769704018,0.6980941809107589
FL0006,61,7057.3,16.28,4.5,8.9,81.3,3.94,Redacción y Traducción,7,105.9,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,0.394313677564397,-0.45081856733023323
FL0007,59,11443.02,28.79,2.6,7.4,78.6,4.3,Soporte Administrativo Virtual,12,135.4,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,-0.07717291242156134,-1.0490987223300106
FL0008,4,11774.12,30.81,3.0,8.9,82.9,3.94,Desarrollo de Software,8,78.6,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,0.46029447161102344,-0.11925262922244086
FL0009,36,39134.4,134.45,8.9,2.6,91.7,4.66,Desarrollo de Software,7,62.2,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,-0.6094407406679153,1.358732058538307
FL0010,30,36477.34,163.64,10.7,7.6,98.1,4.71,Marketing Digital,22,43.7,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,-0.8548644671082244,1.4000757198032836
FL0011,149,32755.06,50.07,8.7,2.8,98.6,4.73,Soporte Administrativo Virtual,20,177.7,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,-2.1027546531612544,-0.5745065419572007
FL0012,28,12344.64,25.15,3.4,6.7,83.6,4.1,Marketing Digital,14,88.8,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,0.0517378475891244,-0.32238151097141615
FL0013,18,11676.58,19.54,1.3,11.5,78.5,4.58,Redacción y Traducción,8,90.1,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,0.7308773257996866,-0.46996750166593837
FL0014,10,2081.96,11.15,3.1,40.9,65.9,3.34,Marketing Digital,0,66.7,0,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.9191872413289603,0.09020919678368926
FL0015,7,1577.16,14.32,1.4,18.5,70.8,2.87,Diseño Gráfico,0,53.4,0,Alto tiempo respuesta horas / Bajo tasa finalizacion,2.011814320639005,-0.08626463775123394
FL0016,45,11946.95,28.31,3.5,4.2,69.7,4.23,Soporte Administrativo Virtual,10,98.7,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,0.3766223021982605,-0.5087811186115921
FL0017,57,7023.28,25.33,3.5,6.2,83.3,4.57,Diseño Gráfico,13,106.8,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,-0.0005619718239245701,-0.7130943707680195
FL0018,38,4470.07,20.77,1.5,2.9,71.4,4.48,Soporte Administrativo Virtual,12,80.7,1,Bajo tiempo respuesta horas / Alto tasa finalizacion,0.5968998021355143,-0.7071685457623148
